,month,ffmc,dmc,temp,rh,dc,area
355,9,92.1,99.0,20.8,35,745.3,13.06
356,9,92.1,99.0,20.8,35,745.3,1.26
359,9,92.5,122.0,21.1,39,789.7,8.12
360,9,92.5,122.0,18.4,42,789.7,1.09
361,9,92.5,122.0,17.3,45,789.7,3.94
362,9,88.2,55.2,15.2,64,732.3,0.52
363,9,91.9,111.7,15.9,53,770.3,2.93
364,9,91.9,111.7,21.1,35,770.3,5.65
365,9,91.9,111.7,19.6,45,770.3,20.03
366,9,91.1,132.3,15.9,38,812.1,1.75
368,9,91.2,94.3,16.8,47,744.4,12.64
370,9,91.0,276.3,13.8,77,825.1,11.06
374,9,90.3,290.0,10.3,78,855.3,18.3
375,9,91.2,94.3,15.4,57,744.4,39.35
377,8,93.7,231.1,21.9,42,715.1,174.63
380,7,93.7,101.3,19.3,39,458.8,7.73
381,8,90.7,194.1,16.2,63,643.0,16.33
382,8,95.2,217.7,28.2,29,690.0,5.86
383,8,91.6,248.4,20.5,58,753.8,42.87
384,8,91.6,273.8,21.3,44,819.1,12.18
385,8,91.6,181.3,20.9,50,613.0,16.0
386,9,90.5,96.7,20.6,55,750.5,24.59
388,8,94.8,227.0,23.3,34,706.7,28.74
390,2,84.7,9.5,7.5,71,58.3,9.96
391,9,91.1,91.3,20.7,46,738.1,30.18
392,9,91.0,276.3,21.9,43,825.1,70.76
395,2,85.0,9.0,10.1,62,56.9,51.78
396,9,90.5,96.7,20.4,55,750.5,3.64
397,8,91.6,181.3,24.3,33,613.0,3.63
400,6,93.3,49.5,28.0,34,297.7,8.16
401,9,91.1,88.2,22.8,46,731.7,4.95
404,9,87.9,84.8,21.8,34,725.1,6.04
406,9,87.1,291.3,17.0,67,860.6,3.95
408,9,90.3,290.0,19.9,44,855.3,7.8
411,2,84.6,3.2,8.2,53,43.6,4.62
412,7,92.3,92.1,22.8,27,442.1,1.63
415,8,94.8,222.4,27.5,27,698.6,746.28
416,7,92.7,164.1,26.3,39,575.8,7.02
418,8,92.0,203.2,24.9,42,664.5,2.44
419,8,91.6,181.3,24.8,36,613.0,3.05
420,8,91.7,191.4,26.2,36,635.9,185.76
422,7,88.9,263.1,29.3,27,795.9,6.3
423,9,91.2,94.3,22.3,48,744.4,0.72
424,8,93.7,231.1,26.9,31,715.1,4.96
427,8,92.1,207.0,27.9,33,672.6,2.35
429,8,91.6,181.3,24.6,44,613.0,3.2
431,8,92.1,178.0,23.3,40,605.3,6.36
433,8,93.6,235.1,20.9,66,723.1,15.34
436,8,92.1,207.0,26.8,35,672.6,0.54
438,8,93.7,231.1,23.6,53,715.1,6.43
439,9,91.1,91.3,19.1,46,738.1,0.33
441,8,92.1,207.0,25.5,29,672.6,1.23
442,4,87.9,24.9,10.9,64,41.6,3.35
444,9,90.3,290.0,16.2,58,855.3,9.96
450,8,95.2,217.7,23.4,49,690.0,6.43
451,8,90.5,196.8,11.8,88,649.9,9.71
457,8,91.7,191.4,19.9,50,635.9,82.75
458,8,93.7,231.1,18.9,64,715.1,3.32
459,8,91.6,273.8,15.5,72,819.1,1.94
462,9,91.0,276.3,14.5,76,825.1,3.71
463,2,75.1,4.4,4.6,82,16.2,5.39
464,2,75.1,4.4,5.1,77,16.2,2.14
465,2,79.5,3.6,4.6,59,15.3,6.84
466,3,87.2,15.1,10.2,45,36.9,3.18
467,3,90.2,18.5,11.2,41,41.1,5.55
468,3,91.3,20.6,13.3,27,43.5,6.61
469,4,91.0,14.6,13.7,33,25.6,61.13
471,5,89.6,25.4,18.0,40,73.7,38.48
472,6,88.2,96.2,14.3,79,229.0,1.94
473,6,90.5,61.1,24.5,50,252.6,70.32
474,6,93.0,103.8,26.4,35,316.7,10.08
475,6,93.7,121.7,22.7,40,350.2,3.19
476,7,93.5,85.3,27.2,28,395.0,1.76
477,7,93.7,101.3,26.1,45,423.4,7.36
478,7,93.7,101.3,18.2,82,423.4,2.21
479,7,89.2,103.9,22.6,57,431.6,278.53
480,7,93.2,114.4,30.2,25,560.0,2.75
482,8,94.9,130.3,23.4,40,587.1,1.29
484,8,94.9,130.3,33.1,25,587.1,26.43
485,8,95.0,135.5,30.6,28,596.3,2.07
486,8,95.1,141.3,24.1,43,605.8,2.0
487,8,95.1,141.3,26.4,34,605.8,16.4
488,8,95.1,141.3,19.4,71,605.8,46.7
493,8,95.9,158.0,27.5,29,633.6,43.32
494,8,96.0,164.0,30.8,30,643.0,8.59
496,8,96.2,175.5,32.6,26,661.8,2.77
497,8,96.1,181.1,32.3,27,671.2,14.68
498,8,96.1,181.1,33.3,26,671.2,40.54
499,8,96.1,181.1,27.3,63,671.2,10.82
503,8,94.5,139.4,29.2,30,689.1,1.95
504,8,94.5,139.4,28.9,29,689.1,49.59
505,8,91.0,163.2,26.7,35,744.4,5.8
509,8,91.0,166.9,21.1,71,752.6,2.17
510,8,91.0,166.9,18.2,62,752.6,0.43
512,8,81.6,56.7,27.8,32,665.6,6.44
513,8,81.6,56.7,21.9,71,665.6,54.29
514,8,81.6,56.7,21.2,70,665.6,11.16
